"url","lname","play_fre","cover"
"http://music.taihe.com/songlist/1007","蓝色的音乐迷雾","170097","http://hiphotos.qianqian.com/ting/pic/item/4d086e061d950a7b2b688c440bd162d9f3d3c9d5.jpg"
"http://music.taihe.com/songlist/1039","循环了太多遍","695538","http://hiphotos.qianqian.com/ting/pic/item/50da81cb39dbb6fdcd8aea770b24ab18962b3789.jpg"
"http://music.taihe.com/songlist/1051","唱支红歌给党听","53471","http://hiphotos.qianqian.com/ting/pic/item/2fdda3cc7cd98d108388ceb1203fb80e7aec90d6.jpg"
"http://music.taihe.com/songlist/1059","民歌精选","594247","http://hiphotos.qianqian.com/ting/pic/item/94cad1c8a786c917bc5f90b9c83d70cf3ac757d6.jpg"
"http://music.taihe.com/songlist/1102","执乐之手，与乐偕老……","322487","http://hiphotos.qianqian.com/ting/pic/item/9358d109b3de9c8283b89fdd6e81800a18d84386.jpg"
"http://music.taihe.com/songlist/1104","冬日里最温暖的一缕阳光——至爱珍藏男声篇","6422","http://hiphotos.qianqian.com/ting/pic/item/10dfa9ec8a136327511900b3908fa0ec09fac7be.jpg"
"http://music.taihe.com/songlist/1110","曼妙音律  让心灵漫步云端","942202","http://hiphotos.qianqian.com/ting/pic/item/cc11728b4710b9120c1bc18ec1fdfc03934522e3.jpg"
"http://music.taihe.com/songlist/1121","安静的流行曲","956585","http://hiphotos.qianqian.com/ting/pic/item/3b87e950352ac65c7322a89bf9f2b21193138a37.jpg"
"http://music.taihe.com/songlist/1128","我们都是寂寞党","187540","http://hiphotos.qianqian.com/ting/pic/item/e4dde71190ef76c6fe9ffeb79f16fdfaae5167d8.jpg"
"http://music.taihe.com/songlist/1136","为爱而歌，情歌大对唱","39377","http://hiphotos.qianqian.com/ting/pic/item/d1160924ab18972b3c81c24ae7cd7b899f510af3.jpg"
"http://music.taihe.com/songlist/1144","那些让人心痛的话","4821046","http://hiphotos.qianqian.com/ting/pic/item/e4dde71190ef76c6f70bf7c89f16fdfaae516773.jpg"
